 borough ,year,theft,robbery,burglary,total_property_crime,total_crime,unemployment(tousands),earnings,number of NVQ4+ aged 16-64,Population estimate,Population per square kilometre
 Kingston upon Thames ,2016,2998 ,119 ,886 ,4003 ,10370 ,4100 ,566.70 ,61900 ,176140 ,4727 
 Lambeth ,2016,9786 ,1227 ,3099 ,14112 ,35543 ,12900 ,551.70 ,155000 ,328237 ,12243 
 Lewisham ,2016,5106 ,875 ,2079 ,8060 ,24967 ,11100 ,520.60 ,105900 ,302454 ,8605 
 Merton ,2016,3114 ,285 ,1427 ,4826 ,13235 ,5400 ,585.30 ,83000 ,205712 ,5467 
 Newham ,2016,7839 ,1499 ,2104 ,11442 ,31240 ,11200 ,436.70 ,114800 ,342430 ,9460 
 Redbridge ,2016,4395 ,600 ,1989 ,6984 ,20219 ,8000 ,521.80 ,94600 ,299375 ,5306 
 Richmond upon Thames ,2016,2956 ,104 ,1356 ,4416 ,11458 ,4300 ,688.80 ,89600 ,195846 ,3412 
 Southwark ,2016,9449 ,1329 ,2936 ,13714 ,32571 ,12000 ,543.00 ,134300 ,313867 ,10875 
 Sutton ,2016,2212 ,166 ,1230 ,3608 ,11047 ,4900 ,532.90 ,57000 ,202612 ,4621 
 Tower Hamlets ,2016,8286 ,1260 ,2840 ,12386 ,30722 ,13400 ,557.90 ,114700 ,305527 ,15445 
 Waltham Forest ,2016,4942 ,606 ,1871 ,7419 ,21493 ,8800 ,483.40 ,84100 ,276498 ,7125 
 Wandsworth ,2016,6716 ,615 ,2360 ,9691 ,24727 ,9200 ,684.70 ,162500 ,316686 ,9242 
 Westminster ,2016,23770 ,1856 ,3227 ,28853 ,50241 ,7800 ,667.50 ,102100 ,247614 ,11524 
 Barking and Dagenham ,2017,3654 ,878 ,1593 ,6125 ,18695 ,7600 ,461.00 ,40100 ,210513 ,5830 
 Barnet ,2017,6779 ,646 ,3548 ,10973 ,27002 ,9100 ,522.60 ,134100 ,391446 ,4512 
 Bexley ,2017,3026 ,293 ,1330 ,4649 ,14831 ,5700 ,513.00 ,58000 ,247179 ,4080 
 Brent ,2017,6266 ,1221 ,2906 ,10393 ,29771 ,10900 ,471.00 ,85800 ,332750 ,7697 
 Bromley ,2017,5053 ,629 ,2587 ,8269 ,22792 ,7200 ,608.00 ,95400 ,330909 ,2204 
 Camden ,2017,16533 ,2027 ,3074 ,21634 ,37957 ,7000 ,614.30 ,105500 ,249556 ,11453 
 Croydon ,2017,5794 ,1189 ,2705 ,9688 ,30599 ,15400 ,538.50 ,115700 ,386346 ,4466 
 Ealing ,2017,6322 ,851 ,2601 ,9774 ,28360 ,9900 ,517.20 ,111300 ,347126 ,6250 
 Enfield ,2017,5373 ,1002 ,2627 ,9002 ,25235 ,9900 ,479.80 ,78100 ,335647 ,4152 
 Greenwich ,2017,5512 ,638 ,2212 ,8362 ,25531 ,8900 ,553.00 ,101300 ,282774 ,5974 
 Hackney ,2017,10037 ,1476 ,2929 ,14442 ,31841 ,7400 ,558.10 ,118100 ,277475 ,14566 
 Hammersmith and Fulham ,2017,6175 ,566 ,1915 ,8656 ,21726 ,6000 ,651.10 ,85200 ,181889 ,11093 
 Haringey ,2017,7802 ,1839 ,2372 ,12013 ,30348 ,9700 ,525.30 ,102400 ,282397 ,9541 
 Harrow ,2017,2700 ,318 ,2046 ,5064 ,13961 ,5300 ,543.40 ,76200 ,252052 ,4995 
 Havering ,2017,4088 ,630 ,2253 ,6971 ,18972 ,5900 ,534.20 ,47600 ,256162 ,2280 
 Hillingdon ,2017,5299 ,525 ,2356 ,8180 ,24784 ,7800 ,500.40 ,83900 ,307040 ,2654 
 Hounslow ,2017,5803 ,483 ,2295 ,8581 ,24896 ,9300 ,517.00 ,79200 ,274970 ,4912 
 Islington ,2017,12507 ,1811 ,2388 ,16706 ,32218 ,6800 ,646.10 ,107600 ,235370 ,15843 
 Kensington and Chelsea ,2017,7282 ,683 ,1795 ,9760 ,21523 ,5000 ,784.40 ,67200 ,157954 ,13028 
 Kingston upon Thames ,2017,3036 ,177 ,1144 ,4357 ,11493 ,3900 ,579.90 ,64800 ,178419 ,4788 
 Lambeth ,2017,9935 ,1513 ,2853 ,14301 ,35001 ,10200 ,594.60 ,163200 ,331157 ,12352 
 Lewisham ,2017,4915 ,1002 ,2322 ,8239 ,25134 ,9100 ,535.20 ,112100 ,306380 ,8717 
 Merton ,2017,3244 ,356 ,1446 ,5046 ,13810 ,4900 ,573.00 ,76900 ,208225 ,5534 
 Newham ,2017,8739 ,2053 ,2191 ,12983 ,34577 ,10300 ,471.30 ,100500 ,347448 ,9598 
 Redbridge ,2017,4754 ,889 ,3007 ,8650 ,23456 ,8600 ,546.80 ,92500 ,303887 ,5386 
 Richmond upon Thames ,2017,3184 ,232 ,1893 ,5309 ,13240 ,4800 ,665.90 ,81500 ,197988 ,3449 
 Southwark ,2017,10053 ,1803 ,3312 ,15168 ,34140 ,12700 ,587.10 ,143900 ,317735 ,11009 
 Sutton ,2017,2356 ,266 ,1130 ,3752 ,12063 ,5800 ,515.20 ,66200 ,204933 ,4674 
 Tower Hamlets ,2017,8660 ,1518 ,2929 ,13107 ,32048 ,12700 ,592.00 ,106600 ,311044 ,15724 
 Waltham Forest ,2017,4907 ,835 ,2430 ,8172 ,22813 ,8100 ,499.40 ,79500 ,280050 ,7216 
 Wandsworth ,2017,6583 ,763 ,2399 ,9745 ,25334 ,7100 ,681.20 ,163700 ,319731 ,9331 
 Westminster ,2017,27309 ,2392 ,3499 ,33200 ,57232 ,7100 ,730.80 ,102300 ,250049 ,11637 
 Barking and Dagenham ,2018,3299 ,825 ,1672 ,5796 ,18309 ,6000 ,479.10 ,44700 ,212773 ,5893 
 Barnet ,2018,6465 ,756 ,3693 ,10914 ,28298 ,9400 ,536.60 ,130700 ,397049 ,4577 
 Bexley ,2018,2870 ,324 ,1640 ,4834 ,15386 ,5100 ,512.70 ,65700 ,249999 ,4127 
 Brent ,2018,6147 ,1459 ,3261 ,10867 ,30824 ,9100 ,479.90 ,88600 ,336859 ,7792 
 Bromley ,2018,5288 ,454 ,2596 ,8338 ,23237 ,7200 ,632.70 ,102100 ,332733 ,2216 
 Camden ,2018,14421 ,1733 ,3438 ,19592 ,35670 ,6500 ,634.40 ,116400 ,252637 ,11595 
 Croydon ,2018,5841 ,1100 ,2809 ,9750 ,31060 ,10500 ,550.60 ,119200 ,391296 ,4523 
 Ealing ,2018,6005 ,859 ,2547 ,9411 ,28334 ,10000 ,524.30 ,121300 ,350784 ,6315 
 Enfield ,2018,5273 ,1234 ,2970 ,9477 ,28018 ,8700 ,464.80 ,87400 ,337697 ,4178 
 Greenwich ,2018,5387 ,644 ,2396 ,8427 ,25724 ,8100 ,566.00 ,100100 ,286322 ,6049 
 Hackney ,2018,8857 ,1606 ,3228 ,13691 ,31280 ,9200 ,555.40 ,108200 ,281740 ,14790 
 Hammersmith and Fulham ,2018,6491 ,777 ,1938 ,9206 ,22130 ,5800 ,682.00 ,79800 ,184050 ,11224 
 Haringey ,2018,6852 ,1863 ,3187 ,11902 ,31059 ,8300 ,551.40 ,105600 ,284288 ,9605 
 Harrow ,2018,3098 ,373 ,1936 ,5407 ,14907 ,4700 ,534.90 ,71400 ,255369 ,5061 
 Havering ,2018,3819 ,676 ,1961 ,6456 ,18712 ,6400 ,544.80 ,48000 ,257511 ,2292 
 Hillingdon ,2018,5449 ,577 ,2053 ,8079 ,25067 ,7000 ,531.70 ,86000 ,309926 ,2679 
